Date,Close/Last,Open,High,Low,Volume
2016-03-04,17006.769531,16945.0,17062.380859,16898.839844,106910000
2016-03-03,16943.900391,16896.169922,16944.310547,16820.730469,91110000
2016-03-02,16899.320313,16851.169922,16900.169922,16766.320313,104470000
2016-03-01,16865.080078,16545.669922,16865.560547,16545.669922,105050000
2016-02-29,16516.5,16634.150391,16726.119141,16510.400391,126220000
2016-02-26,16639.970703,16712.699219,16795.980469,16623.910156,98480000
2016-02-25,16697.289063,16504.380859,16697.980469,16458.419922,94120000
2016-02-24,16484.990234,16418.839844,16507.390625,16165.860352,93620000
2016-02-23,16431.779297,16610.390625,16610.390625,16403.529297,98170000
2016-02-22,16620.660156,16417.130859,16664.240234,16417.130859,102240000
2016-02-19,16391.990234,16410.960938,16410.960938,16278.0,134340000
2016-02-18,16413.429688,16483.759766,16511.839844,16390.429688,104950000
2016-02-17,16453.830078,16217.980469,16486.119141,16217.980469,124080000
2016-02-16,16196.410156,16012.389648,16196.410156,16012.389648,142030000
2016-02-12,15973.839844,15691.620117,15974.040039,15691.620117,132550000
2016-02-11,15660.179688,15897.820313,15897.820313,15503.009766,172070000
2016-02-10,15914.740234,16035.610352,16201.889648,15899.910156,122290000
2016-02-09,16014.379883,16005.410156,16136.620117,15881.110352,127740000
2016-02-08,16027.049805,16147.509766,16147.509766,15803.549805,165880000
2016-02-05,16204.969727,16417.949219,16423.630859,16129.80957,139010000
2016-02-04,16416.580078,16329.669922,16485.839844,16266.160156,131490000
2016-02-03,16336.660156,16186.200195,16381.69043,15960.450195,141870000
2016-02-02,16153.540039,16420.210938,16420.210938,16108.44043,126210000
2016-02-01,16449.179688,16453.630859,16510.980469,16299.469727,114450000
2016-01-29,16466.300781,16090.259766,16466.300781,16090.259766,217940000
2016-01-28,16069.639648,15960.280273,16102.139648,15863.719727,130120000
2016-01-27,15944.459961,16168.740234,16235.030273,15878.299805,138350000
2016-01-26,16167.230469,15893.160156,16185.790039,15893.160156,118210000
2016-01-25,15885.219727,16086.459961,16086.459961,15880.150391,123250000
2016-01-22,16093.509766,15921.099609,16136.790039,15921.099609,145850000
2016-01-21,15882.679688,15768.870117,16038.589844,15704.660156,145140000
2016-01-20,15766.740234,15989.450195,15989.450195,15450.55957,191870000
2016-01-19,16016.019531,16009.450195,16171.959961,15900.25,144360000
2016-01-15,15988.080078,16354.330078,16354.330078,15842.110352,239210000
2016-01-14,16379.049805,16159.009766,16482.050781,16075.120117,158830000
2016-01-13,16151.410156,16526.630859,16593.509766,16123.200195,153530000
2016-01-12,16516.220703,16419.109375,16591.349609,16322.070313,117480000
2016-01-11,16398.570313,16358.709961,16461.849609,16232.030273,127790000
2016-01-08,16346.450195,16519.169922,16651.890625,16314.570313,141850000
2016-01-07,16514.099609,16888.359375,16888.359375,16463.630859,176240000
2016-01-06,16906.509766,17154.830078,17154.830078,16817.619141,120250000
2016-01-05,17158.660156,17147.5,17195.839844,17038.609375,105750000
2016-01-04,17148.939453,17405.480469,17405.480469,16957.630859,148060000
2015-12-31,17425.029297,17590.660156,17590.660156,17421.160156,93690000
2015-12-30,17603.869141,17711.939453,17714.130859,17588.869141,59760000
2015-12-29,17720.980469,17547.369141,17750.019531,17547.369141,69860000
2015-12-28,17528.269531,17535.660156,17536.900391,17437.339844,59770000
2015-12-24,17552.169922,17593.259766,17606.339844,17543.949219,40350000
2015-12-23,17602.609375,17427.630859,17607.919922,17427.630859,92820000
2015-12-22,17417.269531,17253.550781,17451.109375,17242.859375,91570000
2015-12-21,17251.619141,17154.939453,17272.359375,17116.730469,114910000
2015-12-18,17128.550781,17495.039063,17496.580078,17124.310547,344560000
2015-12-17,17495.839844,17756.539063,17796.759766,17493.5,115780000
2015-12-16,17749.089844,17530.849609,17784.359375,17483.679688,123790000
2015-12-15,17524.910156,17374.779297,17627.630859,17341.179688,123430000
2015-12-14,17368.5,17277.109375,17378.019531,17138.470703,142540000
2015-12-11,17265.210938,17574.75,17574.75,17230.5,134510000
2015-12-10,17574.75,17493.169922,17697.740234,17474.660156,107310000
2015-12-09,17492.300781,17558.179688,17767.689453,17403.509766,122020000
2015-12-08,17568.0,17703.990234,17703.990234,17485.390625,113720000
2015-12-07,17730.509766,17845.490234,17845.490234,17639.25,99670000
2015-12-04,17847.630859,17482.679688,17866.470703,17482.679688,137650000
2015-12-03,17477.669922,17741.570313,17780.589844,17425.560547,126990000
2015-12-02,17729.679688,17883.140625,17901.580078,17708.199219,102860000
2015-12-01,17888.349609,17719.720703,17895.5,17719.720703,103880000
2015-11-30,17719.919922,17802.839844,17837.240234,17719.789063,155560000
2015-11-27,17813.390625,17806.039063,17830.359375,17749.320313,82540000
2015-11-25,17813.390625,17820.810547,17854.919922,17801.830078,82540000
2015-11-24,17812.189453,17770.900391,17862.599609,17683.509766,127170000
2015-11-23,17792.679688,17823.609375,17868.179688,17751.529297,134680000
2015-11-20,17823.810547,17732.75,17914.339844,17732.75,153140000
2015-11-19,17732.75,17739.830078,17772.970703,17681.980469,114630000
2015-11-18,17737.160156,17485.490234,17752.160156,17485.490234,106810000
2015-11-17,17489.5,17486.990234,17599.330078,17451.410156,167190000
2015-11-16,17483.009766,17229.939453,17483.009766,17210.429688,137590000
2015-11-13,17245.240234,17439.25,17439.25,17238.890625,134640000
2015-11-12,17448.070313,17691.929688,17691.929688,17443.5,113660000
2015-11-11,17702.220703,17769.5,17807.179688,17696.910156,95230000
